Date,Month,Year,Holidays_Count,Days,PM2.5,PM10,NO2,SO2,CO,Ozone,AQI
1,1,2022,0,6,258.39,300.41,19.4,7.78,2.74,32.37,389
2,1,2022,1,7,277.7,325.39,20.99,8.06,2.99,29.64,415
3,1,2022,0,1,305.63,376.27,26.21,8.01,3.34,31.7,406
4,1,2022,0,2,253.02,318.67,22.38,7.87,2.83,28.56,413
5,1,2022,0,3,291.78,319.14,21.62,8.01,3.02,26.9,389
6,1,2022,0,4,110.85,130.96,13.86,6.93,1.81,27.78,290
7,1,2022,0,5,69.03,87.91,11.58,6.56,1.35,27.84,173
8,1,2022,0,6,48.56,53.88,6.31,6.54,1.1,27.01,90
9,1,2022,1,7,39.3,44.1,3.14,6.29,0.87,27.27,41
10,1,2022,0,1,86.47,99.65,10.81,7.5,1.24,31.21,118
11,1,2022,0,2,93.69,113.94,6.91,7.52,1.22,34.49,231
12,1,2022,0,3,115.58,161.38,8.93,7.75,1.49,30.86,179
13,1,2022,0,4,156.23,217.25,14.17,12.11,1.92,33.83,322
14,1,2022,0,5,161.15,216.8,11.81,13.68,2.01,23.39,300
15,1,2022,0,6,92.03,175.69,3.48,2.06,0.9,14.59,205
16,1,2022,1,7,132.88,227.47,5.1,1.69,1.15,14.04,310
17,1,2022,0,1,169.34,338.88,13.31,2.53,1.34,10.23,338
18,1,2022,0,2,159.39,306.91,7.92,3.07,1.35,8.61,330
19,1,2022,0,3,168.08,344.99,7.29,3.22,1.51,13.58,337
20,1,2022,0,4,284.88,539.69,14.36,9.91,1.98,9.02,465
21,1,2022,0,5,333.91,419.02,9.76,10.27,3.9,28.03,434
22,1,2022,0,6,146.49,170.95,9.65,9.0,1.93,19.13,365
23,1,2022,1,7,112.86,128.02,9.59,7.93,1.56,20.27,220
24,1,2022,0,1,136.58,162.36,9.6,8.39,2.2,19.4,283
25,1,2022,0,2,117.64,164.14,9.58,8.21,1.96,19.53,207
26,1,2022,1,3,133.37,179.09,9.59,8.6,1.77,23.4,292
27,1,2022,0,4,124.59,164.06,9.58,8.3,1.57,29.45,279
28,1,2022,0,5,107.08,159.79,9.54,8.01,1.35,32.61,224
29,1,2022,0,6,118.42,194.84,12.09,8.01,1.45,33.76,247
30,1,2022,1,7,136.49,191.22,9.99,8.69,1.38,35.91,270
31,1,2022,0,1,212.44,269.23,16.09,9.15,1.98,25.3,321
1,2,2022,0,2,200.2,245.48,7.96,11.07,1.48,20.03,376
2,2,2022,0,3,137.15,189.65,7.76,9.79,0.31,30.13,327
3,2,2022,0,4,122.9,145.08,6.34,12.69,0.55,27.83,302
4,2,2022,0,5,55.45,51.03,23.56,16.21,1.06,28.64,153
5,2,2022,0,6,106.6,214.4,22.33,11.45,0.81,25.75,196
6,2,2022,1,7,222.4,306.91,26.94,11.59,3.36,25.55,325
7,2,2022,0,1,177.28,290.62,28.84,10.19,1.47,25.35,291
8,2,2022,0,2,178.34,297.03,26.78,11.34,1.37,28.58,312
9,2,2022,0,3,83.57,130.3,17.15,10.19,1.19,34.29,221
10,2,2022,0,4,91.43,159.66,17.28,10.28,1.01,30.11,189
11,2,2022,0,5,75.33,150.38,16.52,8.6,0.58,32.35,154
12,2,2022,0,6,103.46,205.6,20.69,6.89,0.64,29.56,206
13,2,2022,1,7,128.11,234.49,23.96,7.23,1.22,24.86,261
14,2,2022,0,1,138.33,262.43,29.0,6.63,1.32,23.8,258
15,2,2022,0,2,130.54,273.39,48.96,7.67,1.62,21.22,246
16,2,2022,0,3,122.57,259.51,37.99,7.63,1.0,35.12,253
17,2,2022,0,4,110.41,200.28,32.95,6.58,0.97,23.53,250
18,2,2022,0,5,119.32,221.72,31.48,6.99,1.18,19.35,258
19,2,2022,0,6,88.12,173.13,26.18,6.76,0.84,27.62,175
