Date,Month,Year,Holidays_Count,Days,PM2.5 ,PM10,NO2,SO2,CO,Ozone,AQI
1,1,2024,0,1,71.18,288.33,24.09,21.92,0.74,19.3,244
2,1,2024,0,2,76.61,290.95,26.95,22.19,0.64,20.15,259
3,1,2024,0,3,81.94,308.65,26.41,22.01,1.03,19.65,246
4,1,2024,0,4,86.58,349.36,21.61,22.18,1.02,19.19,324
5,1,2024,0,5,64.61,267.06,19.8,22.36,0.85,19.28,246
6,1,2024,0,6,78.21,319.32,20.7,22.47,0.8,19.64,220
7,1,2024,1,7,80.76,334.34,27.08,22.9,0.93,19.93,308
8,1,2024,0,1,95.24,373.77,24.92,22.87,0.85,19.55,314
9,1,2024,0,2,52.82,212.74,20.55,22.8,0.69,19.65,254
10,1,2024,0,3,73.62,286.79,22.23,22.86,0.7,20.4,168
11,1,2024,0,4,99.72,356.85,29.89,21.9,1,25.8,314
12,1,2024,0,5,81.41,304.72,28.91,20.95,1.02,27.3,264
13,1,2024,0,6,127.48,492.05,36.16,21.31,1.58,27.36,348
14,1,2024,1,7,106.07,327.54,35.14,21.46,1.66,27.05,345
15,1,2024,0,1,70.53,271.14,30.99,21.32,1.1,27.24,222
16,1,2024,0,2,125.14,451.87,48.65,21.62,1.78,28.02,331
17,1,2024,0,3,95.9,388.59,47.21,21.76,1.36,27.69,360
18,1,2024,0,4,95.82,374.84,42.41,22.18,1.19,27.17,313
19,1,2024,0,5,118.7,342.32,44.35,22.69,1.28,26.87,295
20,1,2024,0,6,79.2,324.13,40.61,22.07,0.88,27.45,276
21,1,2024,1,7,72.57,257.14,30.47,21.56,0.96,27.35,271
22,1,2024,0,1,108.32,372.63,40.42,21.67,0.92,28.16,240
23,1,2024,0,2,115.04,429.22,45.74,22.03,1.23,27.73,378
24,1,2024,0,3,105.87,405.6,39.12,22.06,1.16,27.03,383
25,1,2024,0,4,80.42,278.84,31.23,21.27,1,26.88,242
26,1,2024,1,5,108.52,404.79,40.1,20.68,1.41,27.25,352
27,1,2024,0,6,72.18,299.85,35.5,20.61,0.81,28.03,267
28,1,2024,1,7,128.46,468.87,54.04,21.03,1.5,27.75,343
29,1,2024,0,1,122.47,471.32,46.09,21.21,1.26,27.04,383
30,1,2024,0,2,77.87,287.31,28.29,20.94,1.16,26.72,295
31,1,2024,0,3,95.45,328.24,36.78,21.63,1.63,26.71,277
1,2,2024,0,4,31.84,108.25,31.22,21.48,0.71,26.98,145
2,2,2024,0,5,44.56,160.64,19.75,21.54,0.91,26.78,131
3,2,2024,0,6,52.97,218.9,29.51,21.47,0.76,26.71,152
4,2,2024,1,7,54.29,199.46,29.1,21.64,0.92,26.69,209
5,2,2024,0,1,37.31,142.31,22.29,21.72,0.49,26.81,136
